titulo,Cidade,salario,descricao
Desenvolvedor JavaScript,São Paulo,,Atuação em projetos de melhorias na área de manufatura.
Desenvolvedor JavaScript / NodeJS,São Paulo,,"Atuar em uma empresa de tecnologia estratégica desenvolvendo aplicações digitais, correção de bugs e realizar testes."
Desenvolvedor JavaScript,Florianopolis,,"Desenvolvedor de front-end experiente que possa ajudar a levar o seu produto ao próximo nível. No momento, estão procurando desenvolvedores para trabalhar com a interface do usuário do aplicativo e players de sinalização digital."
Desenvolvedor JavaScript,São Paulo,,"Programa, desenvolve e implanta sistemas em JavaScript. Realiza correções em sistemas para atender às necessidades dos usuários. Desenvolve trabalhos de montagem, depuração e testes de programas já desenvolvidos."
Desenvolvedor JavaScript,Sao Leopoldo,,"Atuar em projetos globais, utilizando um Framework novo e exclusivo da SAP chamado UI5, para o qual receberá um treinamento."
Desenvolvedor JavaScript,Rio de Janeiro,,"Desenvolvimento (projetos novos), teste e manutenção (legado), e Front-end."
Desenvolvedor JavaScript,Florianopolis,,"A empresa contratante está à procura de um desenvolvedor de front-end experiente que possa ajudar a levar o seu produto ao próximo nível. No momento, estão procurando desenvolvedores para trabalhar com a interface do usuário do aplicativo e players de sinalização digital."
Desenvolvedor JavaScript,Florianopolis,,"Atuar no Controle de versão GlT Maven - obrigatório. TDD (Test driven development / desenvolvimento orientado a testes e uso de ferramentas como JUnit) Integração contínua (uso de ferramentas como Jenkins / GitLab CI) SQL, Bancos de dados relacionais e NoSQL. Servidores de aplicação, JBoss/"
Desenvolvedor JavaScript - Júnior /Pleno,São Paulo,,"Irá atuar com desenvolvimento em JAVASCRIPT (Programar, desenvolver e implantar sistemas). Atuação como desenvolvedor na implantação e customização, de acordo com os processos dos clientes, utilizando as boas práticas. Atuar no desenvolvimento da plataforma ServiceNow."
Desenvolvedor / Programador PHP,Sao Leopoldo,,Realizar o desenvolvimento e programação PHP. Codificações em páginas de internet (front- end/
Desenvolvedor Javascript Front-end Pleno,Curitiba,,Irá atuar no desenvolvimento de sistemas já existentes na área de comércio e varejo.
Desenvolvedor ASP.NET C# / JavaScript / SQL SERVER,Rio de Janeiro,,"Programar, codificar e desenvolver sistemas, com ênfase em Asp."
Desenvolvedor JavaScript Pleno,São Paulo,,"Atuar no desenvolvimento de novos produtos e correções de customizações para ERPs e E- commerce, garantindo que a solução desenvolvida esteja adequada aos requisitos funcionais."
Desenvolvedor Front-end / JavaScript - Nível Júnior,Valinhos,,Experiência em JavaScript incluindo manipulação de DOM e em desenvolvimento de softwares na tecnologia JavaScript. Desejável conhecimentos em desenvolvimento Web 2.
Desenvolvedor Full-Stack - Javascript,São Paulo,,"Atuar em back-end (servidor, banco de dados, modelagem, programação, estruturação de dados e implementação) e front-end (interface, UX, corte)."
Desenvolvedor PHP,Belo Horizonte,,"Programa, desenvolve e implanta sistemas em linguagem PHP. Realiza correções em sistemas para atender às necessidades dos usuários. Desenvolve trabalhos de montagem, depuração e testes de programas já desenvolvidos."
Desenvolvedor Java / Javascript:,São Paulo,,"Atuará no desenvolvimento Java Web e Javascript, codificação de interfaces WEB em projetos de meios de pagamentos ? banco de dados Oracle. Experiência Frontend : Java Script/ CSS / HTML, e- commerce ? J2EE, UML, Linux. Ferramentas de APM (Dynatrace , APP Dynamics, New Relic, et."
Analista Desenvolvedor JavaScript REACT,Rio de Janeiro,,"Irá atuar nas atividades pertinentes a função. Conhecimentos em for the back-end, the key technologies are, Azure, DataBricks, C#, SQL, Python, Also, GitHub is used for code management, and Azure DevOps for backlogs & sprints."
Desenvolvedor Front-End (Javascript/Angular),São Paulo,,Entregar features que agreguem valor aos nossos produtos;
Analista Desenvolvedor JavaScript REACT,Rio de Janeiro,,Irá atuar nas atividades pertinentes a função.
Desenvolvedor Java Júnior,Novo Hamburgo,,Empresa de conectividade localizada em Novo Hamburgo busca Cientista de Dados. Atividades: Atuar com desenvolvimento de aplicações WEB e REST/
Desenvolvedor Back-End (Javascript/Node),São Paulo,,Reunir-se com usuários do sistema para entender o escopo da solicitação.
1191 - DESENVOLVEDOR JR_BH,Belo Horizonte,,Profissional que atue com desenvolvimento em .
1192 - DESENVOLVEDOR JR_BH,Belo Horizonte,,Profissional que atue com desenvolvimento em .
Desenvolvedor Web Javascript,Porto Alegre,,"Desenvolvimento de sistemas, teste de software / integração contínua e deploy em ambiente do cliente. Construção frontend - suporte de um backend."
